"Module" "Cluster" "Function" "Genes"
"M10.1" "A28" "Interferon" "RIGI, DDX60, DHX58, FBXO6, GBP1, GBP4, GBP5, IFI35, IFIH1, IFIT2, IFIT5, IRF7, LAP3, OAS2, PARP12, PARP14, SAMD9L, SCO2, STAT1, TRIM22, ZBP1"
"M10.2" "A9" "Protein synthesis" "C19ORF31, CLUAP1, EEF1A1, F2R, FTL, H3-3A, HBA2, HBB, SLC7A5P2, LAIR1, LOC388720, OAZ1, RPL41, RPS12, RPS27, TMSB4X, TPT1, UBA52, UBB"
"M10.3" "A34" "Platelet" "ACRBP, BMP6, CDC14B, CLDN5, CLEC1B, DAB2, FHL1, GP1BA, GRAP2, HS.25318, MMD, NAT8B, PGRMC1, PTCRA, RUFY1, CAVIN2, TSC22D1, TUBB1, VCL, ZNF185"
"M10.4" "A38" "Neutrophil activation" "BPI, CEACAM6, CEACAM8, CTSG, DEFA1, DEFA3, DEFA4, ELA2, LOC653600, LOC728358, LTF, MPO, OLFM4"
"M11.1" "A1" "Protein synthesis" "EEF1B2, EEF2, LOC388524, LOC440589, LOC441246, LOC441876, LOC642250, LOC643433, LOC644029, LOC645683, LOC645899, LOC646195, LOC646200, LOC646483, LOC646766, LOC649150, LOC649447, LOC649821, LOC653232, LOC653314, LOC731096, RPL10A, RPL12, RPL17, RPL18, RPL18A, RPL19, RPL27, RPL35, RPL35A, RPL36, RPL4, RPL5, RPL6, RPL8, RPL9, RPLP1, RPS13, RPS14, RPS15, RPS17, RPS18, RPS20, RPS27A, RPS3, TOMM7"
"M11.2" "A37" "TBD" "ABCC4, AMFR, BAT3, BMP2K, GID4, C9ORF40, DNAJB2, EIF1B, GDE1, GNA12, HS.211743, HS.57079, DCAF6, JAZF1, MED25, NSUN3, ODC1, POLR1D, PPP2R5B, PSME4, RANBP10, RNF14, RSRC1, SELENOK, SLC2A1, SNX3, TBC1D22B, TMEM183A, TMEM183BP, UBE2F, UBQLN1, WBP2, WDR26, WDR45, POC1B, WNK1, ZBTB44, ZER1, ZNF653"
"M11.3" "A37" "Erythrocytes" "ASCC2, TPGS2, DPM2, DMTN, FBXO7, GATA1, HAGH, HEMGN, HMBS, KEL, LOC284422, LOC440359, LOC441081, MBNL3, MYL4, PDZK1IP1, PHOSPHO1, RUNDC3A, SESN3, TESC, TGM2, TRIM10, TSPAN5, VWCE"
"M11.4" "A37" "TBD" "AP2M1, AP2S1, ATG9A, B4GALT3, BCL2L13, RGCC, BABAM1, CYB5R3, DAP, DENND1A, RETREG2, HK1, JUND, MSI2, NTAN1, NUCB1, PA2G4, POLR1D, ELOB, UBAC1, UBAP1, UBL7, UROD, WDR13, WIPI2, ZMAT2"
"M12.1" "A1" "Protein modification" "ACAT1, ACTL6A, AHCY, AIFM1, AKAP7, APOBEC3G, ARL5A, BCCIP, BCDIN3D, BMI1, BNIP3, RPF2, BRIX1, COX16, C16ORF80, TIMM21, TSEN15, FAM162A, NOA1, UQCC2, OARD1, CCDC115, CCDC50, CCT2, BLOC1S4, COPS4, CSE1L, DCTD, DCUN1D5, DDX19B, DDX21, DIMT1, DNAJC9, EBNA1BP2, EEF1B2, EEF1E1, EI24, EIF2B1, EMG1, ENOPH1, CCNQ, FBXO21, FH, GART, GEMIN6, GLO1, GTF2H5, HACL1, HADH, HINT2, HNRNPA0, HSPE1, INTS9, AIMP2, CCSER2, KLF9, KRT10, LETMD1, MED10, METTL5, MEX3C, MIS12, MRPL15, MRPL21, MRPL32, MRPL35, MRPL43, MRPL45, MRPL46, MRPS27, MRPS30, MRPS33, NAE1, NAA20, NDUFA9, NIF3L1, NIP7, NXT1, PDCD2, PDCD5, PEPD, PFDN1, PHACTR4, PIGP, PPHLN1, PRKCQ, PWP1, RAB29, RABGGTB, RCN2, RPAIN, RPUSD4, SCO1, SLC25A25, SNRPC, TCEAL4, TFB2M, TGIF1, NELFCD, TMEM126A, TMEM203, CNPY2, TOMM20, WDR33, SNRNP40, SKIC8, ZC3HC1, ZCCHC7, ZFP90, ZNF22, ZNF800"
"M12.10" "A35" "Inflammation" "ABTB1, ALOX5, ATG16L2, VSIR, CEBPD, ARAP3, CRISPLD2, CXCL16, LPAR2, ADGRE2, FAM53C, FRAT2, CHST15, IGF2R, IGSF6, IL13RA1, ITGAX, LAMP2, LILRB3, MBD6, MBOAT7, MXD1, MYO1F, NARF, NCF1C, NDEL1, NUMB, PFKFB4, PILRA, RAB24, RAF1, RNF130, RTN3, SIRPA, SKAP2, SLC12A9, SLC25A44, SSH2, STX3, SVIL, TBXAS1, TIMP2, TLR8, TMEM71, TNFRSF1A, TSEN34, UBN1, ULK1, USP10, XPO6, ZNF467, ZNF746, ZYX"
