rep,phi_S_pop,phi_L_pop,delta_AB_pop,omega_S,omega_L,omega_AB,beta_AGE,beta_G1,beta_G2,delta_S,delta_L,sigma_AB,group
1,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
2,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
3,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
4,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
5,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
6,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
7,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
8,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
9,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
10,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
11,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
12,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
13,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
14,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
15,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
16,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
17,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
18,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
19,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
20,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
21,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
22,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
23,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
24,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
25,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
26,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
27,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
28,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
29,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
30,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
31,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
32,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
33,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
34,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
35,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
36,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
37,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
38,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
39,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
40,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
41,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
42,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
43,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
44,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
45,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
46,3057,16.6,0.0251,0.92,0.85,0.3,0.9340000000000001,1.2,0.8,0.23,0.000316,0.11,simulationGroup1
